rank;artistId;artistsName;trackTitle;track_id;;;;;;;;;;;;;;
73;10608346\v2350921;FINIVOID, MrJay;IMMERSION;107894964;;;;;;;;;;;;;;
74;8739954;DEAD BLONDE;Мальчик на девятке;65320824;;;;;;;;;;;;;;
75;6841371;Ramil';Сияй;68562711;;;;;;;;;;;;;;
76;5240901\v5759838\v7306068;Besomorph, Anthony Keyrouz, Lunis;Apologize;68254126;;;;;;;;;;;;;;
77;8051947\v4693732;Nimus, Nokyo;Into The Wild;71668766;;;;;;;;;;;;;;
78;5862292;Maxun;Died In Your Arms;108106527;;;;;;;;;;;;;;
79;4611844;Miyagi & Эндшпиль;Ночь;108315319;;;;;;;;;;;;;;
80;8595049;Agunda;Ну почему;68004712;;;;;;;;;;;;;;
81;6119595\v6816513;VERBEE, KARA KROSS;Не смогу;69572083;;;;;;;;;;;;;;
82;7258431\v8595049;Тайпан, Agunda;Луна не знает пути;61565558;;;;;;;;;;;;;;
83;3042682;Chris Yank;Зацепила;99210462;;;;;;;;;;;;;;
84;10894360;Антон Токарев;Седьмой лепесток;96477413;;;;;;;;;;;;;;
85;5201940;Brennan Savage;Lonely World;37437042;;;;;;;;;;;;;;
86;6286764;алёна швец.;первое свидание;73439865;;;;;;;;;;;;;;
87;257461;JONY;Комета;57921154;;;;;;;;;;;;;;
88;9803628;VESNA305;Кайфую;95996345;;;;;;;;;;;;;;
89;9559322\v8462200;FINIK, ALEKS ATAMAN;Девочка бандитка;101338970;;;;;;;;;;;;;;
90;5766526\v17634787;LIL KRYSTALLL, Лоя (5sta Family);Я БУДУ;108207836;;;;;;;;;;;;;;
91;6229247\v3827925;GAYAZOV$ BROTHER$, Filatov & Karas;Пошла жара;84382287;;;;;;;;;;;;;;
92;6646952\v8367181;Deepierro, NALYRO;Don't Speak;81157448;;;;;;;;;;;;;;
93;257461;JONY;Аллея;51298376;;;;;;;;;;;;;;
94;5007577;Zivert;Зелёные волны;39946957;;;;;;;;;;;;;;
95;5056591\v2938031;Джарахов, Markul;Я в моменте;84382282;;;;;;;;;;;;;;
96;5396283\v5802468\v11048202;Coopex, New Beat Order, Nito-Onna;Memories;82483662;;;;;;;;;;;;;;
97;1554548;Dabro;Юность;65851540;;;;;;;;;;;;;;
98;16135879;STRACURE;BROKEN;108097633;;;;;;;;;;;;;;
99;257461;JONY;Мир сошёл с ума;69898877;;;;;;;;;;;;;;
100;10341090;NITI DILA;Забыла;73586477;;;;;;;;;;;;;;
101;10240191\v9962908;MARIANA, MODERN CLVB;создавай;104739344;;;;;;;;;;;;;;
102;234192;Полина Гагарина;Кукушка;53733790;;;;;;;;;;;;;;
103;427140\v11229116;VAVAN, Лилая;АМУР;83034934;;;;;;;;;;;;;;
104;10456716;Astronomia Dance;Astronomía 2K;74418941;;;;;;;;;;;;;;
105;10913494\v17651150;Bakr, MBTS;Вредина;108233069;;;;;;;;;;;;;;
106;5129397;HammAli & Navai;Девочка-война;50834580;;;;;;;;;;;;;;
107;6467364;NЮ;Никто;94696082;;;;;;;;;;;;;;
108;5703974;KALVADOS;Простыни;100749308;;;;;;;;;;;;;;
109;15691816\v167049;ANNA ASTI, Филипп Киркоров;Хобби;104263691;;;;;;;;;;;;;;
110;14425\v6860976\v1185458;Gabry Ponte, LUM!X, Robin Schulz;Monster;56512740;;;;;;;;;;;;;;
111;9241205;Jarred Dymore;Oh No I Fell;77121093;;;;;;;;;;;;;;
112;1006719\v800756\v2688840\v10642813;Hugel, Stefy De Cicco, Hugo Cantarra, Nikol Apatini;4 to the Floor;75878077;;;;;;;;;;;;;;
113;452219;Мохито;Руки прочь;52535683;;;;;;;;;;;;;;
114;2372877;Liam Thomas;Don't Leave Without Me;49023850;;;;;;;;;;;;;;
115;5007577;Zivert;ЯТЛ;62208587;;;;;;;;;;;;;;
116;5535139\v1033565;Masked Wolf, Alok;Astronaut In The Ocean;81838301;;;;;;;;;;;;;;
117;5435054\v12252214\v11048202;Sexycools, Two Shy Guys, Nito-Onna;Take You Dancing;85533287;;;;;;;;;;;;;;
118;3976197;#2Маши;Босая;37641523;;;;;;;;;;;;;;
119;6625670;Мэвл;Патамушка;60725745;;;;;;;;;;;;;;
120;8595049\v7258431;Agunda, Тайпан;Битмейкер;83656466;;;;;;;;;;;;;;
121;9376188;Ваня Дмитриенко;31-я весна;108470485;;;;;;;;;;;;;;
122;10863389\v3892062;BRANYA, MACAN;Пополам;85192958;;;;;;;;;;;;;;
123;3468935;Антон Беляев;Лететь;39128736;;;;;;;;;;;;;;
124;5007577;Zivert;Beverly Hills;56920237;;;;;;;;;;;;;;
125;150811;The xx;Intro;6679078;;;;;;;;;;;;;;
126;41052;Король и Шут;Кукла колдуна;50685843;;;;;;;;;;;;;;
127;1556385;HENSY;Поболело и прошло;66322065;;;;;;;;;;;;;;
128;666984;Artik & Asti;Любовь после тебя;87659100;;;;;;;;;;;;;;
129;15743654;VERVGE;Dark Ice;107311878;;;;;;;;;;;;;;
130;13474678\v8807910;Alis Shuka, byjoelmichael;Not About Us. Byjoemichael Remix;94819879;;;;;;;;;;;;;;
131;675068;Imagine Dragons;Believer;33311009;;;;;;;;;;;;;;
132;6467364\v5839186;NЮ, Асия;Останься;89305091;;;;;;;;;;;;;;
133;5129397;HammAli & Navai;Прятки;54798445;;;;;;;;;;;;;;
134;10170574\v12748691\v11048202;Besomage, Meric Again, Nito-Onna;I Will Survive;88974434;;;;;;;;;;;;;;
135;816919;Minelli;Rampampam;78426489;;;;;;;;;;;;;;
136;6841371;Ramil';Сон;80467880;;;;;;;;;;;;;;
137;1636897;MOT;Любовь как спецэффект;107120308;;;;;;;;;;;;;;
138;10294988;Liili;Hot;96215069;;;;;;;;;;;;;;
139;10181860;Akmal';Из-за тебя;92535019;;;;;;;;;;;;;;
140;7662200;airshade;tied to you;107675993;;;;;;;;;;;;;;
141;7325792;Max Fane;Supernova;94976082;;;;;;;;;;;;;;
142;12424722;fenekot;Let Me Down Slowly;91624971;;;;;;;;;;;;;;
143;1554548;Dabro;На часах ноль-ноль;82783144;;;;;;;;;;;;;;
144;11813872\v4738977;Dance Fruits Music, Steve Void;Sweet Dreams (Are Made of This);83511876;;;;;;;;;;;;;;
145;41052;Король и Шут;Лесник;50684233;;;;;;;;;;;;;;
146;7554379;Al Fakher;#Музыкадлядуши;54206389;;;;;;;;;;;;;;
147;12424722;fenekot;Heat Waves;100032744;;;;;;;;;;;;;;
148;4728559\v257461;ELMAN, JONY;Балкон;76406591;;;;;;;;;;;;;;
149;257461;JONY;Love Your Voice;53915872;;;;;;;;;;;;;;
150;156427;Звери;Районы-кварталы;17563784;;;;;;;;;;;;;;
151;3042682;Chris Yank;Холодно;97283156;;;;;;;;;;;;;;
152;5098446;ANIVAR;Любимый человек;54014103;;;;;;;;;;;;;;
153;12456717;Amirchik;Не верю;107885648;;;;;;;;;;;;;;
154;6774682\v7416256;Miyagi & Andy Panda, Mav-d;Marmalade;95089997;;;;;;;;;;;;;;
155;4330960\v4944372;Rauf & Faik, NILETTO;Если тебе будет грустно;70619465;;;;;;;;;;;;;;
156;161659\v9677634;Klaas, Mister Ruiz;Feel Only Love;85088913;;;;;;;;;;;;;;
157;7092474;FILV;Balenciaga;53694971;;;;;;;;;;;;;;
158;170642\v1033565\v3767654;INNA, Alok, Sofi Tukker;It Don’t Matter;94697345;;;;;;;;;;;;;;
159;159009;Градусы;Режиссер;582507;;;;;;;;;;;;;;
160;3538196;Kaleida;Take Me To The River;23269133;;;;;;;;;;;;;;
161;41133;Бумбокс;Вахтёрам;33308946;;;;;;;;;;;;;;
162;4464750\v9460028;Gidayyat, DVNIAR;Сомбреро;107782614;;;;;;;;;;;;;;
163;6557131;Butch U;Combo;107698702;;;;;;;;;;;;;;
164;3428995;Ofenbach;Be Mine;32188268;;;;;;;;;;;;;;
165;5548288;ХАБИБ;Ягода малинка;73376988;;;;;;;;;;;;;;
166;5508520;Miko;Девочка в тренде;54945765;;;;;;;;;;;;;;
167;10318860;Galibri & Mavik;Лампочки;100862369;;;;;;;;;;;;;;
168;5007577;Zivert;Три Дня Любви;92079770;;;;;;;;;;;;;;
169;831666\v2977894\v8589292;Yves V, Ilkay Sencan, Emie;Not So Bad;61288362;;;;;;;;;;;;;;
170;4728559;ELMAN;Муза;73540004;;;;;;;;;;;;;;
171;5855069\v264454\v6389055;Timran, ZELL, Batrai;Берега;85685310;;;;;;;;;;;;;;
172;816919\v325048;Minelli, Filatov;Rampampam;82356861;;;;;;;;;;;;;;
173;5852448;Jay Leemo;Улетай;41969152;;;;;;;;;;;;;;
174;3030841\v280184;XD, Kiki;Summertime Sadness;78171444;;;;;;;;;;;;;;
175;5733065;RASA;ПОГУДИМ;106341605;;;;;;;;;;;;;;
176;3537\v506803;Coolio, L.V.;Gangsta's Paradise;137670;;;;;;;;;;;;;;
177;951368;Dennis Lloyd;Nevermind;34645754;;;;;;;;;;;;;;
178;5159477\v5733765\v12206921;Braaten, Chrit Leaf, RYVM;Waiting for You;88311423;;;;;;;;;;;;;;
179;1111457;Inossi;Nightfall;87495837;;;;;;;;;;;;;;
180;381067;Ed Sheeran;Shape of You;32947997;;;;;;;;;;;;;;
181;3042682\v12746127;Chris Yank, Treemaine;Холодно;101252101;;;;;;;;;;;;;;
182;5736663\v2392189;Nebezao, Андрей Леницкий;Целуешь, прощаешь;63686699;;;;;;;;;;;;;;
183;666984;Artik & Asti;Лампочки;79071659;;;;;;;;;;;;;;
184;611169;The Weeknd;Blinding Lights;60292250;;;;;;;;;;;;;;
185;15640661;Ryugan;Black Out Days Sped Up;102905010;;;;;;;;;;;;;;
186;8282917\v5758147;ERSHOV, Kagramanov;Заплетай;76491782;;;;;;;;;;;;;;
187;6726384;Lastfragment;ZOV;107616959;;;;;;;;;;;;;;
188;8049580\v4891236\v8707095;Imanbek, BYOR, Glockenbach;Belly Dancer;105563457;;;;;;;;;;;;;;
189;5007577\v5405806\v3808643;Zivert, Shnaps, Jay Filler;Life;51438764;;;;;;;;;;;;;;
190;9039363;Moonkids;Time To Shine;106270026;;;;;;;;;;;;;;
191;16151619;German Geraskin;Sleep Alone;107462338;;;;;;;;;;;;;;
192;6948516;ДжаЯмми;Туман;67948385;;;;;;;;;;;;;;
